,geometry,month_timestamp,detection_drives_count,avg_speed,near_miss_pedestrian_ratio,near_miss_bicycle_ratio,near_miss_vehicle_ratio,avg_pedestrian_on_road_volume,avg_bicycle_on_road_volume,braking_count,cornering_count,harsh_braking_ratio,harsh_cornering_ratio
0,"[[34.772099, 32.054769], [34.772205, 32.054769]]",1/1/2021,298,30.06288126,0,0,0,0.033557047,0.033557047,21,183,0,0.004966295
1,"[[34.774698, 32.08943], [34.774449, 32.089478]]",1/1/2021,126,26.21069216,0,0,0,0.071428571,0.015873016,0,0,0,0
2,"[[34.786151, 32.07445], [34.786218, 32.074516]]",1/1/2021,581,32.47598634,0.00172117,0,0,0.010327022,0,60,389,0,0.002570694
3,"[[34.777766, 32.038728], [34.777856, 32.038679]]",1/1/2021,294,34.19469847,0.003401361,0,0,0.013605442,0.003401361,29,201,0,0.003252965
4,"[[34.763697, 32.052037], [34.762973, 32.052226]]",1/1/2021,75,30.85962387,0,0,0,0.026666667,0,11,48,0,0.020833333
5,"[[34.777043, 32.036422], [34.777113, 32.036399]]",1/1/2021,91,52.57522584,0,0,0,0,0,22,57,0,0.056286544
6,"[[34.777204, 32.036181], [34.777163, 32.036042]]",1/1/2021,94,55.08416931,0,0,0,0,0,4,57,0,0.058733105
7,"[[34.783591, 32.058924], [34.783561, 32.058976]]",1/1/2021,105,25.81833522,0,0,0.00952381,0.00952381,0.019047619,16,83,0,0.004578313
8,"[[34.782561, 32.055555], [34.782889, 32.056609]]",1/1/2021,205,27.65912625,0.009756098,0.009756098,0.014634146,0.136585366,0.112195122,50,83,0,0.006004193
9,"[[34.779939, 32.067723], [34.780564, 32.067428]]",1/1/2021,175,24.63479897,0,0.011428571,0,0.08,0.097142857,23,40,0,0
10,"[[34.772169, 32.053305], [34.772221, 32.052574]]",1/1/2021,216,37.82405006,0,0.013888889,0.00462963,0.111111111,0.083333333,38,87,0,0.010788839
11,"[[34.774359, 32.07778], [34.774385, 32.077795]]",1/1/2021,278,29.36225235,0.007194245,0,0,0.017985612,0.007194245,8,199,0,0.00167504
12,"[[34.768726, 32.075338], [34.768613, 32.075384]]",1/1/2021,58,24.8457485,0,0,0,0.034482759,0,9,36,0,0
13,"[[34.769717, 32.075244], [34.768726, 32.075338]]",1/1/2021,85,25.0859308,0,0,0.023529412,0.058823529,0,36,52,0,0.006272788
14,"[[34.768994, 32.077347], [34.769527, 32.077046]]",1/1/2021,225,26.55423375,0,0,0,0.177777778,0.084444444,9,19,0,0
15,"[[34.773494, 32.093274], [34.773725, 32.093862]]",1/1/2021,82,23.92448532,0,0,0,0.146341463,0.073170732,0,0,0,0
16,"[[34.775988, 32.064522], [34.776902, 32.065372]]",1/1/2021,909,30.5051269,0,0.00110011,0.03410341,0.01980198,0.01980198,359,517,0,0.002017416
17,"[[34.776902, 32.065372], [34.775988, 32.064522]]",1/1/2021,423,27.79150011,0,0,0,0.219858156,0.231678487,0,0,0,0
18,"[[34.784075, 32.051473], [34.784085, 32.051199]]",1/1/2021,1674,67.33494587,0,0,0.000597372,0.002986858,0.000597372,169,294,0,0.002186588
19,"[[34.773404, 32.054815], [34.77303, 32.054801]]",1/1/2021,157,31.44875057,0,0,0,0.108280255,0.184713376,0,0,0,0
20,"[[34.786516, 32.09012], [34.786529, 32.090849]]",1/1/2021,200,27.24925337,0.02,0,0.025,0.055,0.03,50,63,0,0.009182587
21,"[[34.778648, 32.078828], [34.778025, 32.078208]]",1/1/2021,170,25.47039974,0.011764706,0,0.005882353,0.129411765,0.082352941,60,89,0,0
22,"[[34.765806, 32.052575], [34.76714, 32.052202]]",1/1/2021,483,43.83480911,0,0,0.004140787,0.055900621,0.039337474,79,286,0,0.042028983
23,"[[34.783037, 32.091675], [34.782954, 32.091611]]",1/1/2021,89,29.25819715,0,0,0,0.056179775,0.056179775,0,0,0,0
24,"[[34.77921, 32.103845], [34.780438, 32.104639]]",1/1/2021,196,31.12072356,0.015306122,0,0,0.265306122,0.030612245,42,63,0,0.005102048
25,"[[34.7727, 32.041075], [34.773068, 32.041408]]",1/1/2021,147,42.76716406,0.013605442,0.006802721,0.040816327,0.034013605,0.06122449,26,65,0,0.020688015
